[ 3.89554631e-04  5.56131288e-05 -2.99936930e-04]
[ 3.90087230e-04  5.57741611e-05 -3.05413674e-04]
[ 3.90909707e-04  5.43208971e-05 -2.98555798e-04]
[ 3.91242436e-04  5.40010666e-05 -2.95162405e-04]
[ 3.92060716e-04  5.34001293e-05 -2.90178644e-04]
[ 3.74054472e-04  5.32096092e-05 -2.74577798e-04]
[ 3.09971053e-04  5.31240421e-05 -2.53211316e-04]
[ 2.70986500e-04  5.28196493e-05 -2.50070333e-04]
[ 2.33700844e-04  5.25330290e-05 -2.47637121e-04]
[ 1.92261720e-04  5.21533348e-05 -2.44791499e-04]
[ 1.71303080e-04  5.25234020e-05 -2.43661591e-04]
[ 1.40134866e-04  5.35496153e-05 -2.50588813e-04]
[ 1.29210209e-04  5.35530737e-05 -2.50626940e-04]
[ 1.10196721e-04  5.35594772e-05 -2.50477412e-04]
[ 9.65591340e-05  5.35643628e-05 -2.50412621e-04]
[ 8.65289099e-05  5.35682011e-05 -2.50373888e-04]
[ 7.62099297e-05  5.35723787e-05 -2.50326873e-04]
[ 6.99056570e-05  5.35751538e-05 -2.50292158e-04]
[ 6.44681758e-05  5.35777130e-05 -2.50257256e-04]
[ 5.81451562e-05  5.35808948e-05 -2.50209718e-04]
[ 5.46071200e-05  5.35828470e-05 -2.50178594e-04]
[ 5.07375330e-05  5.35851495e-05 -2.50139453e-04]
[ 4.71493424e-05  5.35875159e-05 -2.50096221e-04]
[ 4.46573982e-05  5.35893414e-05 -2.50061022e-04]
[ 4.22479346e-05  5.35912805e-05 -2.50021714e-04]
[ 3.97999091e-05  5.35934971e-05 -2.49974209e-04]
[ 3.81120292e-05  5.35952564e-05 -2.49935119e-04]
[ 3.67626222e-05  5.35967979e-05 -2.49899335e-04]
[ 3.56052206e-05  5.35982914e-05 -2.49864123e-04]
[ 3.45224323e-05  5.35999001e-05 -2.49825193e-04]
[ 3.35098964e-05  5.36016256e-05 -2.49781794e-04]
[ 3.27285905e-05  5.36031598e-05 -2.49742229e-04]
[ 3.20699801e-05  5.36046632e-05 -2.49703158e-04]
[ 3.15020160e-05  5.36061444e-05 -2.49663603e-04]
[ 3.10269442e-05  5.36076023e-05 -2.49624587e-04]
